	LYNTN	RACUF	GJICK	NRWCQ	AEDNY	IWWPW	RGGPY	EANLT	REOIA	FHIEM
ENSG00000000005	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
ENSG00000000419	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
ENSG00000000457	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
ENSG00000000460	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ENSG00000000938	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
ENSG00000000971	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
ENSG00000001084	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
ENSG00000001167	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
ENSG00000001497	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
ENSG00000001617	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
