	LYNTN	RACUF	GJICK	NRWCQ	AEDNY	IWWPW	RGGPY	EANLT	REOIA	FHIEM
MTGFFJC					0.0					0.40359334347783293
OQAKXPB	0.0	0.0	0.0	0.5735649735383176		0.0	0.3275267898046521	0.49000591712313424	0.5251769056240284	0.601881056532792
JVVYTZI	0.0	0.0	0.4277447382556009	0.5536949690225844	0.0	0.28941135431328024	0.0	0.0		0.4355674213810916
EQAOCFK	0.5480413246047856	0.0	0.0	0.42934368168189563	0.0	0.0	0.6413992572220094		0.39275985153052284	0.0
EPUMLUW	0.0	0.29391453744081164	0.2823230324457293	0.5368398157857072	0.0	0.5950404141128802	0.0		0.7339406987641209	0.44149888177170227
QYLOQXZ	0.0	0.0	0.6372793965008954	0.3437955766905124		0.0	0.281055507859972	0.0	0.0	
IIRLLZM	0.26211499842565456	0.0	0.0	0.31552760484944686	0.0	0.0	0.0	0.0	0.0	0.47020994550081097
WWLIJVJ	0.67981725507259	0.0	0.500885709778249	0.0	0.32703689911550726	0.6904573790675111		0.0	0.0	0.5747176903767175
TYXWRHJ	0.28201242741088905	0.0	0.3753538905392919	0.0		0.7535161931838856	0.0	0.0	0.6549049502991715	0.0
RIEXTAW	0.0	0.37733523665172974		0.29314065433894587	0.0	0.5176485667878251	0.736621198822973	0.51803717966652	0.6309721311968721	0.380291661388131
